champion_id,champion_name,ban_rate
523,Aphelios,50.55
60,Elise,47.65
80,Pantheon,36.64
235,Senna,31.35
30,Karthus,30.65
875,Sett,30.05
246,Qiyana,23.65
421,Rek'Sai,23.22
89,Leona,20.91
7,LeBlanc,19.37
76,Nidalee,18.91
53,Blitzcrank,18.89
142,Zoe,18.11
25,Morgana,17.55
111,Nautilus,16.75
412,Thresh,16.65
64,"Lee Sin",15.98
21,"Miss Fortune",14.89
245,Ekko,14.09
84,Akali,12.07
157,Yasuo,11.89
62,Wukong,10.91
122,Darius,10.01
58,Renekton,9.84
91,Talon,9.08
114,Fiora,8.69
555,Pyke,8.61
236,Lucian,8.55
432,Bard,8.36
105,Fizz,7.91
39,Irelia,7.41
2,Olaf,7.27
24,Jax,6.86
517,Sylas,6.52
86,Garen,6.01
82,Mordekaiser,4.84
516,Ornn,4.64
429,Kalista,4.59
81,Ezreal,4.58
41,Gangplank,4.24
38,Kassadin,4.04
154,Zac,4.01
350,Yuumi,3.89
44,Taric,3.65
8,Vladimir,3.42
55,Katarina,3.29
110,Varus,3.13
16,Soraka,3.06
134,Syndra,2.88
56,Nocturne,2.74
223,"Tahm Kench",2.66
266,Aatrox,2.64
69,Cassiopeia,2.60
11,"Master Yi",2.25
68,Rumble,2.12
85,Kennen,2.11
35,Shaco,2.09
107,Rengar,2.05
131,Diana,2.03
238,Zed,2.02
133,Quinn,1.70
126,Jayce,1.50
163,Taliyah,1.50
240,Kled,1.48
4,"Twisted Fate",1.47
78,Poppy,1.40
67,Vayne,1.36
104,Graves,1.27
74,Heimerdinger,1.14
23,Tryndamere,1.10
13,Ryze,1.01
26,Zilean,1.01
28,Evelynn,1.01
203,Kindred,0.96
10,Kayle,0.95
145,Kai'Sa,0.91
164,Camille,0.88
119,Draven,0.85
33,Rammus,0.84
51,Caitlyn,0.82
9,Fiddlesticks,0.78
20,"Nunu & Willump",0.78
54,Malphite,0.75
3,Galio,0.67
37,Sona,0.60
117,Lulu,0.59
136,"Aurelion Sol",0.58
17,Teemo,0.55
57,Maokai,0.55
498,Xayah,0.55
99,Lux,0.54
120,Hecarim,0.54
34,Anivia,0.52
420,Illaoi,0.51
497,Rakan,0.49
48,Trundle,0.45
103,Ahri,0.44
141,Kayn,0.44
427,Ivern,0.44
40,Janna,0.42
106,Volibear,0.42
518,Neeko,0.40
43,Karma,0.39
90,Malzahar,0.38
27,Singed,0.36
79,Gragas,0.36
50,Swain,0.35
59,"Jarvan IV",0.35
98,Shen,0.34
102,Shyvana,0.34
115,Ziggs,0.29
22,Ashe,0.28
61,Orianna,0.27
127,Lissandra,0.27
12,Alistar,0.26
268,Azir,0.26
75,Nasus,0.24
29,Twitch,0.22
31,Cho'Gath,0.20
121,Kha'Zix,0.20
19,Warwick,0.19
101,Xerath,0.19
15,Sivir,0.18
5,"Xin Zhao",0.17
36,"Dr. Mundo",0.17
201,Braum,0.17
92,Riven,0.16
161,Vel'Koz,0.16
267,Nami,0.16
1,Annie,0.15
45,Veigar,0.15
113,Sejuani,0.14
202,Jhin,0.14
222,Jinx,0.13
83,Yorick,0.11
77,Udyr,0.10
32,Amumu,0.09
63,Brand,0.09
112,Viktor,0.09
143,Zyra,0.09
150,Gnar,0.09
6,Urgot,0.08
14,Sion,0.08
18,Tristana,0.08
72,Skarner,0.08
254,Vi,0.08
42,Corki,0.04
96,Kog'Maw,0.03
